N,ID,goalReachedFBON0,goalReachedFBON1,goalReachedFBON10,goalReachedFBON11,goalReachedFBON12,goalReachedFBON13,goalReachedFBON14,goalReachedFBON15,goalReachedFBON16,goalReachedFBON17,goalReachedFBON18,goalReachedFBON19,goalReachedFBON2,goalReachedFBON20,goalReachedFBON21,goalReachedFBON22,goalReachedFBON23,goalReachedFBON3,goalReachedFBON4,goalReachedFBON5,goalReachedFBON6,goalReachedFBON7,goalReachedFBON8,goalReachedFBON9
145,14436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
146,14513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
147,14641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
148,14773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
149,14824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
150,14992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
151,15002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
152,15197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
153,15200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
154,15389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
155,15453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
156,15500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
157,15687,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,11,0,0,0,0,10,0,0
158,15706,0,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,11,0,0,0,0,11,0,0
159,15827,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,9,0,0
160,15973,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0
161,16032,0,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
162,16183,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0
163,16212,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,12,0,0,0,0,10,0,0
164,16370,0,0,0,0,0,0,0,10,0,0,0,9,0,0,0,0,9,0,0,0,0,10,0,0
165,16411,0,0,0,0,0,0,0,11,0,0,0,12,0,0,0,0,11,0,0,0,0,11,0,0
166,16522,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
167,16691,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,11,0,0
168,16713,0,0,0,0,0,0,0,10,0,0,0,11,0,0,0,0,10,0,0,0,0,10,0,0
169,16804,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
170,16942,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,9,0,0,0,0,10,0,0
171,17001,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
