N,ID,correct,fitness,incorrect
139,13809,25,79604.824549,14
140,13977,27,16302.942636,12
141,14059,28,26962.523645,12
142,14168,29,36823.590477,11
143,14245,29,20334.083403,9
144,14302,25,56430.551548,15
145,14467,27,25861.783573,13
146,14506,33,68336.643643,7
147,14663,32,36919.269004,8
148,14770,33,115981.613356,7
149,14853,31,34215.800296,9
150,14957,31,83507.653588,9
151,15044,31,60905.448325,8
152,15147,31,46941.096310,9
153,15290,33,16573.332527,7
154,15343,31,19688.397755,8
155,15486,33,116589.606589,6
156,15574,32,46804.863434,7
157,15647,35,46947.007243,5
158,15750,28,73586.160082,12
159,15835,27,38273.303133,13
160,15931,30,15950.763004,10
161,16003,32,97372.019850,8
162,16149,28,5425.988395,9
163,16286,28,28102.730784,10
164,16346,26,40792.713212,13
165,16479,27,34055.196625,12
166,16574,33,61834.192860,7
167,16667,24,5164.944990,15
168,16769,34,14633.688090,5
169,16865,28,27377.378233,12
170,16987,33,101445.155606,7
171,17099,27,8134.447720,13
172,17114,29,41565.969768,11
173,17286,31,15866.786074,8
174,17379,27,22664.430246,13
175,17465,26,35454.972218,14
176,17558,33,198321.549529,7
177,17655,31,35225.793306,8
178,17754,30,108274.868538,10
179,17892,30,46645.596143,10
180,17995,29,10612.533635,11
181,18041,29,122945.708613,11
182,18109,24,7468.684262,16
183,18205,28,15278.368315,12
184,18351,31,136774.366102,9
185,18448,29,23849.662067,10
186,18523,32,190452.721482,8
187,18617,22,8107.432628,18
188,18701,29,33061.706619,11
189,18837,27,12427.705186,13
190,18920,22,17644.871920,18
191,19053,32,57739.581716,7
192,19150,32,44548.327881,7
193,19256,29,25303.893849,11
194,19398,28,56198.109158,12
195,19441,25,20774.945337,15
196,19527,30,32534.944857,9
197,19620,31,14050.195483,8
198,19726,30,13888.891315,10
199,19821,28,35018.019651,11
200,19960,27,63676.669934,12
201,20015,21,13883.232074,18
202,20103,26,11972.192254,12
203,20200,29,23466.164427,9
204,20387,29,20167.239114,11
205,20466,24,30147.551149,15
206,20550,28,15003.374708,12
207,20605,29,23161.536981,11
208,20778,28,32257.043614,11
209,20857,29,60527.445269,10
210,20901,31,30393.313445,9
211,21023,29,11086.689302,10
212,21104,26,50250.662664,14
213,21270,26,11642.873673,12
214,21368,32,15317.032878,8
215,21433,25,8695.511906,15
216,21551,28,33966.005587,12
217,21629,36,64091.702183,2
218,21738,27,20406.370870,13
219,21890,25,5706.504677,13
220,21915,28,17977.427258,12
221,22025,26,48006.438503,14
222,22142,30,57778.659099,9
223,22208,29,21782.997118,10
224,22319,26,14691.079571,14
225,22449,26,47882.037815,13
226,22574,24,9547.393739,15
227,22662,25,14494.731317,14
228,22751,29,24825.375973,11
229,22875,31,28297.913733,8
230,22985,28,16297.357940,12
231,23032,30,37237.451143,10
232,23190,31,107184.992917,9
233,23233,30,5855.107710,8
234,23334,29,30221.253979,11
235,23410,23,48957.549402,16
236,23595,32,39486.638246,8
237,23653,28,16332.497269,12
238,23793,28,31176.703465,10
239,23814,31,18081.222161,8
240,23912,29,48727.685030,11
241,24036,30,17869.946041,10
242,24189,29,18135.720614,10
243,24212,31,62631.656713,8
244,24392,34,72851.773511,5
245,24422,29,43017.015950,11
246,24577,30,20743.749742,8
247,24647,30,48111.346975,10
248,24787,29,63469.418199,11
249,24847,27,20213.301159,13
250,24974,29,60813.139728,11
251,25035,32,32134.362712,6
252,25177,27,29455.216136,13
253,25264,28,27960.605533,12
254,25351,32,48303.844797,8
255,25483,31,93279.038368,9
256,25569,27,12028.014293,13
257,25685,21,12007.912320,18
258,25750,28,27284.893996,11
259,25821,29,17474.981919,10
260,25992,26,17734.393028,14
261,26091,33,58160.776021,7
262,26148,21,8396.472665,18
263,26241,37,44486.761788,3
264,26319,25,20252.484080,15
265,26456,27,25471.348902,13
266,26591,25,42601.712266,15
267,26619,28,24181.373231,12
268,26706,31,44340.332879,9
269,26834,29,41449.027959,11
270,26901,24,20586.470503,14
271,27077,31,16956.660254,9
272,27101,29,28363.080440,10
273,27265,30,12117.979303,10
274,27343,30,55439.188685,10
275,27446,27,38829.855254,12
276,27523,27,35147.765230,12
277,27611,33,37896.624492,6
278,27727,29,51089.239320,10
279,27803,31,73023.361030,9
280,27905,33,40208.174164,6
281,28049,29,43969.372552,10
282,28106,30,31467.207963,9
283,28232,27,24615.207157,12
284,28308,25,17038.435385,14
285,28435,31,20148.155679,9
286,28553,33,62886.400659,7
287,28661,27,19860.516883,12
288,28754,30,198188.015302,9
289,28841,32,17990.676632,8
290,28918,30,61958.676553,10
291,29053,33,31908.918262,7
292,29156,31,34907.987461,9
293,29253,30,47043.954752,10
294,29384,28,17644.806621,12
295,29419,27,23548.364986,12
296,29532,29,39313.769330,10
297,29628,26,22685.142241,14
298,29787,28,4580.557317,12
299,29838,27,12724.984265,12
300,29971,32,41662.886481,8
301,30019,28,23311.583301,12
302,30104,31,75789.610518,9
303,30289,35,38816.063895,5
304,30348,33,50564.819227,6
305,30492,25,8057.373777,15
306,30567,31,23481.590657,8
307,30633,31,52360.970844,9
308,30755,31,24792.672601,8
309,30836,29,30878.066156,10
310,30917,30,24050.896585,9
311,31019,28,40521.474682,12
312,31180,32,63256.275515,7
313,31228,28,16343.040134,10
314,31326,31,41939.402281,8
315,31472,31,17848.226056,9
316,31564,30,39649.214298,9
317,31682,31,45140.611738,8
318,31777,26,19750.943353,14
319,31872,30,10945.244341,10
320,31960,29,51748.233059,11
321,32051,25,44129.299670,15
322,32186,27,119264.018834,13
323,32203,29,11072.075529,10
324,32302,28,9920.409525,10
325,32445,30,59666.863519,10
326,32551,28,64061.410828,11
327,32633,27,23945.922837,12
328,32799,31,64024.431540,9
329,32859,31,39249.366240,9
330,32914,26,39645.030477,14
331,33085,31,72308.721178,8
332,33179,26,35462.812961,14
333,33238,30,25003.248282,10
334,33362,31,28071.526349,9
335,33460,31,57368.343930,8
336,33500,31,34317.566167,8
337,33652,30,45249.142340,10
338,33750,30,32539.726923,10
339,33807,29,86892.116638,11
340,33945,33,55868.268387,6
341,34081,25,20027.779984,15
342,34146,29,20873.367856,10
343,34285,29,33704.868934,10
344,34387,25,14887.497599,15
